subject_id,session_id,condition,fs,duration_s,n_samples,has_PPG,has_ECG,has_GSR,has_ACC,sex,age
S1,midterm1,midterm1,64.0,11177.8,715377,True,False,True,True,,
S1,midterm2,midterm2,64.0,11135.8,712689,True,False,True,True,,
S1,final,final,64.0,23395.3,1497297,True,False,True,True,,
S2,midterm1,midterm1,64.0,11983.3,766929,True,False,True,True,,
S2,midterm2,midterm2,64.0,13883.8,888561,True,False,True,True,,
S2,final,final,64.0,25336.3,1621521,True,False,True,True,,
S3,midterm1,midterm1,64.0,12212.8,781617,True,False,True,True,,
S3,midterm2,midterm2,64.0,10244.8,655665,True,False,True,True,,
S3,final,final,64.0,25820.8,1652529,True,False,True,True,,
S4,midterm1,midterm1,64.0,11693.7,748396,True,False,True,True,,
S4,midterm2,midterm2,64.0,13391.8,857073,True,False,True,True,,
S4,final,final,64.0,15916.3,1018641,True,False,True,True,,
S5,midterm1,midterm1,64.0,12001.1,768071,True,False,True,True,,
S5,midterm2,midterm2,64.0,12016.3,769041,True,False,True,True,,
S5,final,final,64.0,15248.8,975921,True,False,True,True,,
S6,midterm1,midterm1,64.0,11152.3,713745,True,False,True,True,,
S6,midterm2,midterm2,64.0,14189.8,908145,True,False,True,True,,
S6,final,final,64.0,23920.3,1530897,True,False,True,True,,
S7,midterm1,midterm1,64.0,12383.6,792550,True,False,True,True,,
S7,midterm2,midterm2,64.0,10813.3,692049,True,False,True,True,,
S7,final,final,64.0,19648.3,1257489,True,False,True,True,,
S8,midterm1,midterm1,64.0,10780.3,689937,True,False,True,True,,
S8,midterm2,midterm2,64.0,9961.3,637521,True,False,True,True,,
S8,final,final,64.0,17896.3,1145361,True,False,True,True,,
S9,midterm1,midterm1,64.0,12680.8,811569,True,False,True,True,,
S9,midterm2,midterm2,64.0,12431.5,795619,True,False,True,True,,
S9,final,final,64.0,14206.3,909201,True,False,True,True,,
S10,midterm1,midterm1,64.0,11686.3,747921,True,False,True,True,,
S10,midterm2,midterm2,64.0,12991.3,831441,True,False,True,True,,
S10,final,final,64.0,23072.8,1476657,True,False,True,True,,
